"","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","stateProvince","habitat","cl10902","scientificName","basisOfRecord","kingdom","phylum","class","order","family","taxonRank","dataResourceName"
"527",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"528",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"529",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"530",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"531",-35.55,148.833,10000,"Australian Capital Territory","","Eucalypt Medium Open","Lampropholis guichenoti","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"532",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"533",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"534",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"535",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"536",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"537",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"538",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"539",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"540",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Eulamprus tympanum","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"541",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"542",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"543",-35.55,148.816,10000,"Australian Capital Territory","","Eucalypt Medium Open","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian Museum provider for OZCAM"
"544",-35.5493340345169,149.131985,10,"Australian Capital Territory","","Non Forest","Carlia tetradactyla","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","NSW BioNet Atlas"
"545",-35.5486000345159,148.824,200,"Australian Capital Territory","","Eucalypt Medium Open","Intellagama lesueurii","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Agamidae","species","ACT Wildlife Atlas"
"546",-35.547625,149.052656,122,"Australian Capital Territory","","Eucalypt Medium Woodland","Diporiphora nobbi","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Agamidae","species","iNaturalist Australia"
"547",-35.547121,149.069757,201,"Australian Capital Territory","","Eucalypt Medium Woodland","Pseudonaja textilis","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","iNaturalist Australia"
"548",-35.5465000345133,149.07,200,"Australian Capital Territory","","Eucalypt Medium Woodland","Pseudechis porphyriacus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
